,Q,A,Context,label
3470, We continue to negotiate until we have a very small window of opportunity.," Guys, let me assure you that if you let me... the window will reopen in about 10 minutes."," We continue to negotiate until we have a very small window of opportunity. |  Wait, where is Maggie?",0
3471, There was never a next time. The window of Maggie never reopened.," Well, I found! There are bars country, the giddy ups, there are tons of guys in overalls. Copilot me!", There was never a next time. The window of Maggie never reopened. |  I do not want the giddy ups. That's what I want. I had forgotten how it felt to seeking the real thing... but I think I'm ready again.,0
3472, I do not want the giddy ups. That's what I want. I had forgotten how it felt to seeking the real thing... but I think I'm ready again.," Let me tell you where I am... I want to sleep with a girl in order to remove this jumpsuit. (From Ted) Go, go. You gotta help me, I have to remove this damn thing.", I do not want the giddy ups. That's what I want. I had forgotten how it felt to seeking the real thing... but I think I'm ready again. |  Hey you! I love your overalls!,0
3473," I promised never to tell you. But occasionally, your Aunt Robin was enjoying a cigarette. And occasionally, the occasional cigarette. Was more than just casual.", I just let something like that to my apartment.," I promised never to tell you. But occasionally, your Aunt Robin was enjoying a cigarette. And occasionally, the occasional cigarette. Was more than just casual. |  Robin, going, going on the roof! We said no smoking in the apartment... after that you have set f*re by the pumps.",0
3474, So that's why you're worried?, The new head of legal department is Hobes Arthur., So that's why you're worried? |  Is Arthur a*tillery? Your former leader.,0
3475," Wow, he not remember you."," Not great, it does not matter that Arthur Hobes not like Marshall, he loves no one. It is the people he knows that he has to separate. He just fired, What's his head? ."," Wow, he not remember you. |  It turned 'What is his head? Ted! And What's his head? Was priceless.",0
3476," Look, I understand you to be upset but this is not a reason to k*ll you."," Yeah, after you turn'm doing... then you can k*ll you. As What is his head? . Now I think it is, where is his head?"," Look, I understand you to be upset but this is not a reason to k*ll you. |  Look, it's just two cigarettes. Ok, I can collect 2. As it is not 3 within 24hrs I replongerai yet.",0
3477," I can not believe they're smoking outside, it's really cold.", Do you remember when you could smoke in bars?," I can not believe they're smoking outside, it's really cold. |  I think there's a pretty girl smiling at me there.",0
3478, I think there's a pretty girl smiling at me there.," Hey, this is a chair, but go ahead and drag it.", I think there's a pretty girl smiling at me there. |  Guys?,0
3479," Our group is divided into smokers and nonsmokers, and it's great.", You're right. Going for a smoke.," Our group is divided into smokers and nonsmokers, and it's great. |  What?",0
3480," Hey you two, smoking, like us."," I'm not a smoker. I do not smoke on certain occasions.After sex, when I'm with German, sometimes both at the same time. During sex, for birthdays, to annoy my mother, just before sex, on a sailboat. The day the mentor MC mailly eliminated each year, and of course... wait, because God knows it's true: fear of pregnancy."," Hey you two, smoking, like us. |  And why you smoke there?",0
3481, And why you smoke there?, I'm always on the verge of sleep Ted.," And why you smoke there? |  Maybe that smoking is not so bad, at least it is outdoors.",0
3482," Maybe that smoking is not so bad, at least it is outdoors.", And my abs muscle nicotine. I... am... muscular.," Maybe that smoking is not so bad, at least it is outdoors. |  As glamorous as it might be, we all cracked after one week.",0
3483," Yes, right away, and me is Marshall."," My God, I hope that Arthur is well. I reserve her office in case."," Yes, right away, and me is Marshall. |  We must stop smoking.",0
3484," Yes, we stop."," I'm proud of you guys. I heard how it was difficult to stop smoking for as you, then the part of non-smokers, I tell you hat, so give me your cigarettes and I rid, one at a time."," Yes, we stop. |  You stop my chick. (She removes the cigarette from his hands) I know I did not call you chick normally, but it does with that voice. Chick.",0
3485," I can not stop now, not before the most important interview of my life. It's too stressful.", Nursery's painted!," I can not stop now, not before the most important interview of my life. It's too stressful. |  Just one.",0
3486, Barney stops eating your fingers.," I do not bite my nails, I try to suck the rest of nicotine on my fingers.", Barney stops eating your fingers. |  Marshall pass me your plate.,0
3487," What, you're a dinosaur?", What do cigarettes now? You believe they think of us?," What, you're a dinosaur? |  Dude, if you do not stop moving your feet, I'll tear it off.",0
3488, We will not smoke., I have a hiding on the roof.," We will not smoke. |  Oh, I woke up and I smoke. Robin, you know how it's dangerous to wake a smoker sleeps.",0
3489, I have a hiding on the roof.," Oh, I woke up and I smoke. Robin, you know how it's dangerous to wake a smoker sleeps.", I have a hiding on the roof. |  I bought a packet on the way home.,0
3490, You know it's the perfect time there. For one last cigarette. The real last.," Come on, let's do it.", You know it's the perfect time there. For one last cigarette. The real last. |  The last three.,0
3491," She wants to do a doctorate, she reads the philosophy for fun, she finished the crossword in the Sunday New York Times."," Ted, I am happy for you. Sorry, not for you, not to be you."," She wants to do a doctorate, she reads the philosophy for fun, she finished the crossword in the Sunday New York Times. |  To summarize, I have a date tonight. (We hear screaming outside) Thank you, New York! I try not to screw up.",0
3492, Why it's almost that guys?, Only two things can cause this turmoil.," Why it's almost that guys? |  Ladies and gentlemen, the McLaren's hired a sexy barmaid.",0
3493, Only two things can cause this turmoil.," Ladies and gentlemen, the McLaren's hired a sexy barmaid.", Only two things can cause this turmoil. |  Look at all these guys. The sidewalk will feel the pee now.,0
3494, We'd better find a new bar.," What... are you crazy? It's a sexy barmaid. Do you know how long I've waited for me... My friends, I slept with many women in my glory days. Lawyers, professors, poets, doctors, professional riders, and animators... A butcher, a baker, a candle maker. Yes, we got to the part where it rhymes. A teacher, a restorative, an observer... A puppeteer, a croupier, a housewife, it is also a job, guys. A circuit court judge...", We'd better find a new bar. |  Abbreviates!,0
3495, Abbreviates!," I never, never slept with a barmaid sexy, until tonight.", Abbreviates! |  It's not so sexy.,0
3496, No. Shut up!, Wish me luck., No. Shut up! |  It will never happen. She will pretend to enjoy yourself in the same way she has mesmerized all these geniuses.,0
3497, It will never happen. She will pretend to enjoy yourself in the same way she has mesmerized all these geniuses.," Guess who will not fall under his spell? I will make him Do not try, baby. Papa needs a gin and tonic. And when she will, I recracherai saying Do it again.  The dominant male where it should be: on top, and after a few minutes below. Why should I do anything?"," It will never happen. She will pretend to enjoy yourself in the same way she has mesmerized all these geniuses. |  Guys, what's up?",0
3498, Thank you., There. Deleted., Thank you. |  What do you want?,0
3499, What do you want?," Do not even try, baby. Wait, what?", What do you want? |  You're going to stay there in order to be ridiculous?,0
3500, You're going to stay there in order to be ridiculous?, Uh..., You're going to stay there in order to be ridiculous? |  I do not know a Heu. It's half vodka and half-bar of yourself then?,0
3501," Yeah, I'm gay. Gay for you.", No matter. You understand why I'm the only guy she does not know this bar?," Yeah, I'm gay. Gay for you. |  Yes... You will not like the answer.",0
3502, My last three were former Wall Street brokers.Bastards. I swore never to go out with a guy who wears suits., It's easy. I just have to stop wearing costumes.," My last three were former Wall Street brokers.Bastards. I swore never to go out with a guy who wears suits. |  Is that all? Come on, you're always in costume.",0
3503," Is that all? Come on, you're always in costume."," True... But for these two... And, for that... Finally, for her... I'll stop wearing, wait..."," Is that all? Come on, you're always in costume. |  We know you're gonna say costumes.",0
3504," Sorry to have misjudged you. If there is a kind of men I can not stand are those in costume. Ca, and a woman who does not comply.", The costumes and complexed. I hate them. I hate them.," Sorry to have misjudged you. If there is a kind of men I can not stand are those in costume. Ca, and a woman who does not comply. |  So, your date with Cindy?",0
3505, We will order food., I arrive in a second., We will order food. |  Out of my way! Stay with me.It's not your time.,0
3506," Sorry, Barney. There is nothing more to do.", So young. You can not do anything else?," Sorry, Barney. There is nothing more to do. |  No. But we can use the buttons on this costume to another.",0
3507, No. But we can use the buttons on this costume to another., It can... As an organ donor?, No. But we can use the buttons on this costume to another. |  The death of this suit could save the life of another.,0
3508, The death of this suit could save the life of another., Erika... and so on., The death of this suit could save the life of another. |  You do what it takes. Do not cry about it. It's silk.,0
3509, You do what it takes. Do not cry about it. It's silk., Sorry. I know. I know., You do what it takes. Do not cry about it. It's silk. |  We have the remains cremated. Its buttons have saved a sick jacket of the Upper East Side.,0
3510, Sorry. I know. I know., We have the remains cremated. Its buttons have saved a sick jacket of the Upper East Side.," Sorry. I know. I know. |  Finally, you can abandon the quest for so-called sexy barmaid.",0
3511," Finally, you can abandon the quest for so-called sexy barmaid."," No. My costume gave his life for this cause, and I do not should rest before these two... Well, it... Finally,... Be it mine."," Finally, you can abandon the quest for so-called sexy barmaid. |  There is absolutely right.",0
3512," Barney, sorry about your friend. Tell me about him."," It was Italian. Classic, elegant. And my God he knew how to deal with women. They could not say no."," Barney, sorry about your friend. Tell me about him. |  How old was he?",0
3513, How old was he?, 7 years. I miss him so much!, How old was he? |  You should not be alone tonight. I will finish earlier.,0
3514, You should not be alone tonight. I will finish earlier.," Thank you, old friend. You go on a good sh*t."," You should not be alone tonight. I will finish earlier. |  Admit it, she is sexier than me. It will not hurt me.",0
3515," Children, as you guessed, it was not the night I met your mother. Although I think I saw his foot. But I approached the meeting with the woman of my dreams. And your mother... She had recovered her yellow umbrella."," It was so special, you know? We should observe a minute of silence. Followed by about 20 minutes of grunting."," Children, as you guessed, it was not the night I met your mother. Although I think I saw his foot. But I approached the meeting with the woman of my dreams. And your mother... She had recovered her yellow umbrella. |  I'll help you feel much better. Let me refresh.",0
3516, I'll help you feel much better. Let me refresh.," Okay. Expected. No, this is not the bathroom. This is...", I'll help you feel much better. Let me refresh. |  They are yours?,0
3517, They are yours?, I'm here with someone.," They are yours? |  Barney, you lied to me. You must choose immediately.Me... or costumes.",0
3518," Oh, really! Then answer these questions, I beg. What would you do if you had to choose between your suits and a pot of gold?", Costumes!," Oh, really! Then answer these questions, I beg. What would you do if you had to choose between your suits and a pot of gold? |  What would you say, against all your costume you were offered eternal youth?",0
3519," What would you say, against all your costume you were offered eternal youth?", Costumes!," What would you say, against all your costume you were offered eternal youth? |  What would you choose: a million girls and one three parts?",0
3520, What would you choose: a million girls and one three parts?, I see it., What would you choose: a million girls and one three parts? |  And a world at peace would be within your reach?,0
3521, And a world at peace would be within your reach?," I'll stop. These are the costumes. Stops just bullshit.Two, three, four! Girls come and depart, but the clothes remain constant! Each buddy d'pote and rambling, it is no substitute!Sorry, my costumes, I give you my life. My Sunday clothes are my best friends! The casual clothes go in the basket because nothing goes better with the undisputed often praised, claiming to fame... a true... Expect more... Costume...", And a world at peace would be within your reach? |  Nothing suits her better... than... Costume.In costume! In costume! Costume...!,0
3522, Nothing suits her better... than... Costume.In costume! In costume! Costume...!," Mind you, it is rather barrel. (Back at Barney) I choose you you, baby. Tomorrow morning, I get rid of these costumes.", Nothing suits her better... than... Costume.In costume! In costume! Costume...! |  Really?,0
3523, Really?, Yeah. (They kiss) I will do you nothing!, Really? | ,0
3524, What?!, I heard., What?! |  You want to sleep with Jenkins?,0
3525, You want to sleep with Jenkins?," With Jenkins, of Jenkins, near Jenkins. You said it, I want to put like a sock.", You want to sleep with Jenkins? |  But you are... really... I did not know that...,0
3526," As the show starts early, it is often at the bar. So when she did an interview, one should drink when she says But um.At the bar...", Huh?," As the show starts early, it is often at the bar. So when she did an interview, one should drink when she says But um.At the bar... |  But um, it would seem, she often said.",0
3527," But um, it would seem, she often said."," It's funny, I also had a drinking game based on Robin, Robin finally. At the bottom of her stomach..."," But um, it would seem, she often said. |  It was agreed that you do not speak of those things.",0
3528, It was agreed that you do not speak of those things.," Sorry, you're right. She did not like anyway. She said it woke her up. Does she said But um so often?"," It was agreed that you do not speak of those things. |  Tonight, we saw how much she often said.",0
3529," She thinks she is strong. That's right, I have to prove that I am not the weak. I will make her jealous."," Easy, that's the plan: A, layer with Jenkins. Two, I sleep with Jenkins first. Three, the second rule is the first I'm going to rule 2."," She thinks she is strong. That's right, I have to prove that I am not the weak. I will make her jealous. |  Okay, I know. You remember the other night, the game of skee-ball, when you did your good score?",0
3530, Kissed my husband! MY HUSBAND! Nobody embraces the father of my future children besides me.," Marshall, you're in the field!"," Kissed my husband! MY HUSBAND! Nobody embraces the father of my future children besides me. |  Children, your Uncle Marshall was never tried again to make your aunt Lily jealous.",0
3531," Hi friends, any sport has had its icon, which it excels. Ali was boxing, basketball had Jordan, and the sport of sleeping with b*mb snuff chance, my next guest, Mr Barney Stinson.Barney, welcome."," Thank you, Jim. I'm glad to be back on the show."," Hi friends, any sport has had its icon, which it excels. Ali was boxing, basketball had Jordan, and the sport of sleeping with b*mb snuff chance, my next guest, Mr Barney Stinson.Barney, welcome. |  It's good to have you. And you know, the statistics, they really speak for themselves. Over 200 women spread over 6 continents, 17 countries, 74 sexual positions, and not a single bead. Impressive. But even with all these successes, there has always been an escape for you. Which brings us back to last week. Tell us about our history.",0
3532," It's good to have you. And you know, the statistics, they really speak for themselves. Over 200 women spread over 6 continents, 17 countries, 74 sexual positions, and not a single bead. Impressive. But even with all these successes, there has always been an escape for you. Which brings us back to last week. Tell us about our history."," Hold on, Jimbo, it is extraordinary."," It's good to have you. And you know, the statistics, they really speak for themselves. Over 200 women spread over 6 continents, 17 countries, 74 sexual positions, and not a single bead. Impressive. But even with all these successes, there has always been an escape for you. Which brings us back to last week. Tell us about our history. |  It all started when I decided to start a small challenge.",0
3533," Hold on, Jimbo, it is extraordinary.", It all started when I decided to start a small challenge.," Hold on, Jimbo, it is extraordinary. |  Oh my God. Wow.",0
3534, He decides his victim., Whatever the girl I'm trying to point is that I go with her tonight. And... they're off!, He decides his victim. |  Hi!,0
3535," So, the first night was pretty normal."," Jim, there is nothing in my usual way to pack."," So, the first night was pretty normal. |  Respect. Which brings us to the second night.",0
3536, Respect. Which brings us to the second night.," That brings us to the second night. You see the b*mb that pampers its Black Russian (Vodka and coffee liqueur)? She left to exchange it with a White American. Enter me five! You know... If you're not careful, you'll lose me."," Respect. Which brings us to the second night. |  Guys, when Dale called for a second hot date, what do I tell her?",0
3537, It's all I want to be., I guess that's just what they said when I was gone.," It's all I want to be. |  I believe it. You are awesome. Now, night 3. Describe it to us.",0
3538," I believe it. You are awesome. Now, night 3. Describe it to us."," Jim, I can tell you that I was gone, so I wanted a little spice."," I believe it. You are awesome. Now, night 3. Describe it to us. |  I think I'll take small tits tonight.",0
3539," Jim, I can tell you that I was gone, so I wanted a little spice.", I think I'll take small tits tonight.," Jim, I can tell you that I was gone, so I wanted a little spice. |  You're yucky.",0
3540, You're yucky.," Lily, it's people too.", You're yucky. |  That's your burgers.,0
3541, Wear what bad luck?, I had left to do... flawless.," Wear what bad luck? |  It was faultless. 7 nights, 7 girls, 0 rejection.",0
3542, I had left to do... flawless.," It was faultless. 7 nights, 7 girls, 0 rejection."," I had left to do... flawless. |  Awesome. I mean, it's the equivalent of sexual perfect game in baseball, in even harder.",0
3543," Awesome. I mean, it's the equivalent of sexual perfect game in baseball, in even harder.", Yeah. The only player in history to have accomplished both Pete was Drexell 'The mustache' in'96.," Awesome. I mean, it's the equivalent of sexual perfect game in baseball, in even harder. |  It was not the first time you were about to accomplish. So you knew that one mistake, and we reach the end. Sometimes a teammate makes a mistake. Sometimes a minefield...",0
3544," It was not the first time you were about to accomplish. So you knew that one mistake, and we reach the end. Sometimes a teammate makes a mistake. Sometimes a minefield...", You and me in the closet of the Spanish supermarket next door.," It was not the first time you were about to accomplish. So you knew that one mistake, and we reach the end. Sometimes a teammate makes a mistake. Sometimes a minefield... | ... takes you straight into the wall. And sometimes you spread yourself. And it almost always ends badly. But this week, you were to 3 of 3, and no sign of abating.",0
3545,"... takes you straight into the wall. And sometimes you spread yourself. And it almost always ends badly. But this week, you were to 3 of 3, and no sign of abating."," I can even say, without a fault. I'd love to say the same of my friends.","... takes you straight into the wall. And sometimes you spread yourself. And it almost always ends badly. But this week, you were to 3 of 3, and no sign of abating. |  Jen has not come into being today.",0
3546," So you're at four, he'll just make a 5 to 7."," Well done, Jim."," So you're at four, he'll just make a 5 to 7. |  Hey, I try. I'm not you. It was then comes the night No 5, and trouble with.",0
3547, I'm going. He needs a brother. Hey buddy., Hey!, I'm going. He needs a brother. Hey buddy. |  Is everything okay?,0
3548, Is everything okay?, Absolutely. A background. It could not get better. I make fun of that? I need you., Is everything okay? |  Anything you want. What's the matter?,0
3549, Anything you want. What's the matter?, Which of these girls look the most stupid?, Anything you want. What's the matter? |  Let's see it. Already heated to perfection? The smashed out? Ok I will deal for Big Mac.,0
3550, Let's see it. Already heated to perfection? The smashed out? Ok I will deal for Big Mac.," Thank you, Skip.", Let's see it. Already heated to perfection? The smashed out? Ok I will deal for Big Mac. |  So what did he say?,0
3551," Barney, I will interrupt you one second, I must ask you something. Have you ever taken Viagra?"," No, sir. I like to play by the rules. While I can not say I did not propose to."," Barney, I will interrupt you one second, I must ask you something. Have you ever taken Viagra? |  It was pretty awesome. You should try it. I still have a few.",0
3552, It was pretty awesome. You should try it. I still have a few., Thank you.," It was pretty awesome. You should try it. I still have a few. |  You sure? Ok, do as you like. What time is it?",0
3553," You sure? Ok, do as you like. What time is it?", It's The Diver.," You sure? Ok, do as you like. What time is it? |  8:00? I have to go to hospital.",0
3554, 8:00? I have to go to hospital.," I've never touched. I can pee in a jar if you like, Jim Nantz."," 8:00? I have to go to hospital. |  Barney, I trust you. I miss you even ask the question. Let's talk about the night 6. Two girls prepared to perfection.",0
3555," Hey, what are you doing here? Returns to the bar!"," Ted, relax. I am already 6 of 6."," Hey, what are you doing here? Returns to the bar! |  Really?",0
3556, Really?," Yeah. I ate at the Tavern of vegetables, I started talking to the Swedish Top Model, and the next moment we batifolait in the back of a carriage. Go my beautiful, Hue!", Really? |  Great. What really happened?,0
3557, Great. What really happened?," I ate at the Staten Island Chili's, and I jumped a hairdresser completely stuffed. Are you happy, Ulysses?"," Great. What really happened? |  Barney, we know that you are going you may get fired. Wait, you ought to speak. You turn away from reality, kissing unnecessarily on all sides.",0
3558," Barney, we know that you are going you may get fired. Wait, you ought to speak. You turn away from reality, kissing unnecessarily on all sides."," No vain, ok? Between number 5 and I, there was a connection. She will resume her studies, she has a child or who is studying... something with studies."," Barney, we know that you are going you may get fired. Wait, you ought to speak. You turn away from reality, kissing unnecessarily on all sides. |  Now my students have taught me that Jen Coulin abandon my material.",0
3559," Unbelievable. You know, there are two things that do not.First: you do not open an email from Phil Simms to your children.And second: you do not wear bad luck to a man on track to flawless."," I do not know what to tell you, Lily is always trying to ruin me any."," Unbelievable. You know, there are two things that do not.First: you do not open an email from Phil Simms to your children.And second: you do not wear bad luck to a man on track to flawless. |  I think she cracked a bit for the Barnacle.",0
3560, I think she cracked a bit for the Barnacle.," You have the eye to notice such details, Jim Nantz.", I think she cracked a bit for the Barnacle. |  I can not believe that thou hast brought him bad luck.,0
3561," Do not tell me that she dared to say The door-jinx, it does not exist.", I wish I had power.," Do not tell me that she dared to say The door-jinx, it does not exist. |  You were about to achieve something so beautiful.",0
3562, You were about to achieve something so beautiful.," Well, thank you to her, the only thing that can prevent a stroke insured was about to walk out the door. A member of the New York Yankees World Champions in 2009."," You were about to achieve something so beautiful. |  Lily, I'll buy my own toothbrush.",0
3563," It's happening, look.", You wanna come to my house and watch the collection of snowballs?," It's happening, look. |  A collection of snow globes?",0
3564," It was well played, well played, well played.", But not play well enough. All this week was a waste of time. And tomorrow I'm getting fired.," It was well played, well played, well played. |  I'm sorry. But for what it's worth, this week was not a waste of time. We all had a horrible week, and you have helped us change a little air.",0
3565, We frightened a couple great just because we share a toothbrush., You share a toothbrush?," We frightened a couple great just because we share a toothbrush. |  Well, they and Ted.",0
3566," Well, they and Ted.",... Huh?," Well, they and Ted. |  Wait a minute. When we went out together, you borrow the toothbrush all the time.",0
3567," I'm sorry. Lily, Nick Swisher think it's cute.", Piti texting?," I'm sorry. Lily, Nick Swisher think it's cute. |  You take a beer with a Yankee, if that's not cool!",0
3568, What do you say we go home?," Wow, to be honest, this is not my habit, but I feel a real connection, Number 7... Christy. I beg you. I did it! I did it!", What do you say we go home? |  Unbelievable. Congratulations on your faultless.,0
3569, Unbelievable. Congratulations on your faultless.," Thank you, Jim. I would never have done it without the help of my friends."," Unbelievable. Congratulations on your faultless. |  Hey, on another subject, you really think you could get fired today?",0
3570," Hey, on another subject, you really think you could get fired today?"," Uh, Jim, I told you I wanted to talk about it."," Hey, on another subject, you really think you could get fired today? |  Barney, I go straight from your imagination, so apparently we must talk! Think about it.",0
3571," Barney, I go straight from your imagination, so apparently we must talk! Think about it.", What a c**t.," Barney, I go straight from your imagination, so apparently we must talk! Think about it. |  You're the idiot.",0
3572," Stinson, we made a decision. We keep you. I know this last week has been hard.", I barely slept.," Stinson, we made a decision. We keep you. I know this last week has been hard. |  That's the guy, the official caps of no fault of Barney. I was going to make t-shirts, but you know, sizes, all that, and it would hurt me to think.",0
3573, Dibs on his wings!," Hey, guys!", Dibs on his wings! |  Hey!,0
3574, Hey!, Does anyone know who won the Superbowl?, Hey! |  You were there. It was the...,0
3575, You were there. It was the...," I won! Because I'm now in possession of a magic phone that always rings. And you know who's always usually on the other end? A chick. So how many chicks do I have calling me now? Infinity! Guys, remember Ranjit?", You were there. It was the... |  Hello.,0
3576, Good to see you., OK I've enlisted Ranjit's services as my personal driver because for the next week I'll be sleeping with hundreds of women and I don't want to take the subway cause... you know... germs!," Good to see you. |  Wait, you're... you're actually gonna hook up with these girls that call you?",0
3577," Wait, you're... you're actually gonna hook up with these girls that call you?"," Oh, indubitably! I'm meeting the first one here any minute. Keep your eyes pealed for a red sweater. Based on her texts, she's dirty, dyslexic and want to 96 me, semi-colon and parenthesis."," Wait, you're... you're actually gonna hook up with these girls that call you? |  This ought to be good. I can only imagine the quality of girls...",0
3578," Hi, you ARE the guy from the Superbowl."," Magic phone, guys.(whispers)Magic phone!"," Hi, you ARE the guy from the Superbowl. |  Oh, hey guys, hey Ranjit.",0
3579, I did NOT...say... it was a good plan.," Guys, guys, guys, we're on me now. And it is getting in-teh-resting. Looks at these texts. Read this one. Yowza! Now look at this one. Does she text her mother with those fingers? Now look at this one... or this one, or this one, or this one, or..."," I did NOT...say... it was a good plan. |  OK OK OK buddy, how about you do this? Go nail that girl, then read your texts.",0
3580," OK OK OK buddy, how about you do this? Go nail that girl, then read your texts."," I can't do that, Ted. I just can't hook up with a girl if there is a hotter girl out there with whom up can be hooked."," OK OK OK buddy, how about you do this? Go nail that girl, then read your texts. |  Isn't there always a hotter girl?",0
3581, Isn't there always a hotter girl?," I know, isn't it wonderful?(answers phone)Go for Barney. Cut to the chase, what's your cup size?...Oh, hi Mom!"," Isn't there always a hotter girl? |  So there's a hotter girl. Isn't that the problem in a nutshell? There's too many options. You got internet dating, you got bars...",0
3582," See! That right there is what free will gets you. Constant ego-shattering uncertainty. I'm done with that. I want what Ranjit has. I've spent my entire adult life looking for the perfect woman and I'm spending Valentine's Day scrubbing the toilet. I need someone else to find me that woman. Marshall, Lily, arrange-marriage me!","(walks by, phone ringing)Or this one, or this one, or this one..."," See! That right there is what free will gets you. Constant ego-shattering uncertainty. I'm done with that. I want what Ranjit has. I've spent my entire adult life looking for the perfect woman and I'm spending Valentine's Day scrubbing the toilet. I need someone else to find me that woman. Marshall, Lily, arrange-marriage me! |  You want us to arrange your marriage?",0
3583, Lawyered.," There is no place I would rather be and no one I would rather be with...(phone rings)I should get that.(picks up in the kitchen)Go for Barney... Look, I'm sort of in the middle of someone, something right now and I... You're a hot lady bullfighter?...(to the girl in his room)You gotta go.", Lawyered. |  McLaren's pub.,0
3584," There is no place I would rather be and no one I would rather be with...(phone rings)I should get that.(picks up in the kitchen)Go for Barney... Look, I'm sort of in the middle of someone, something right now and I... You're a hot lady bullfighter?...(to the girl in his room)You gotta go.", McLaren's pub.," There is no place I would rather be and no one I would rather be with...(phone rings)I should get that.(picks up in the kitchen)Go for Barney... Look, I'm sort of in the middle of someone, something right now and I... You're a hot lady bullfighter?...(to the girl in his room)You gotta go. |  McLaren's pub.",0
3585, McLaren's pub.," Well, I just ralphed."," McLaren's pub. |  There is no place I would rather be, and no one I would rather be... (phone rings)Would you excuse me for one moment?(picks up in the kitchen)Go for Barney, look, I... You're a gold medalist japanese figure skater?(to the lady bullfighter)Adios, muchacha!",0
3586," Well, heeelllooo."," There is no place I would rather be, and no one I would rather be... (phone rings)Would you excuse me for one moment?(picks up in the kitchen)Go for Barney, look, I... You're a gold medalist japanese figure skater?(to the lady bullfighter)Adios, muchacha!"," Well, heeelllooo. |  McLaren's pub.",0
3587," There is no place I would rather be, and no one I would rather be... (phone rings)Would you excuse me for one moment?(picks up in the kitchen)Go for Barney, look, I... You're a gold medalist japanese figure skater?(to the lady bullfighter)Adios, muchacha!", McLaren's pub.," There is no place I would rather be, and no one I would rather be... (phone rings)Would you excuse me for one moment?(picks up in the kitchen)Go for Barney, look, I... You're a gold medalist japanese figure skater?(to the lady bullfighter)Adios, muchacha! |  McLaren's pub.",0
3588, McLaren's pub.," Well, I just ralphed."," McLaren's pub. |  No place I'd rather be, no one I'd rather b... (phone rings) baaah... for Pete's sake.(picks up in the kitchen)You're a HOT chick?(to the skater)Sayonara.(Ranjit's cab)",0
3589," Well, heeelllooo."," No place I'd rather be, no one I'd rather b... (phone rings) baaah... for Pete's sake.(picks up in the kitchen)You're a HOT chick?(to the skater)Sayonara.(Ranjit's cab)"," Well, heeelllooo. |  McLaren's pub.",0
3590," No place I'd rather be, no one I'd rather b... (phone rings) baaah... for Pete's sake.(picks up in the kitchen)You're a HOT chick?(to the skater)Sayonara.(Ranjit's cab)", McLaren's pub.," No place I'd rather be, no one I'd rather b... (phone rings) baaah... for Pete's sake.(picks up in the kitchen)You're a HOT chick?(to the skater)Sayonara.(Ranjit's cab) |  McLaren's pub.",0
3591, McLaren's pub.," Well, I just ralphed."," McLaren's pub. |  I realize that you're very busy, so I'll just get straight to the point.",0
3592," I realize that you're very busy, so I'll just get straight to the point.", OK.," I realize that you're very busy, so I'll just get straight to the point. |  Ay ay ay.",0
3593, OK., There. Deleted., OK. |  And that's my bad leg. Very bad.(phone rings)Are you OK?,0
3594, And that's my bad leg. Very bad.(phone rings)Are you OK?," Yeah of course. Why, why wouldn't I be?...(picks up)Go for Barney.", And that's my bad leg. Very bad.(phone rings)Are you OK? |  I'm free.,0
3595," Yeah of course. Why, why wouldn't I be?...(picks up)Go for Barney.", I'm free.," Yeah of course. Why, why wouldn't I be?...(picks up)Go for Barney. |  Ahh now this feels right. There is no place I would rather be, and no one I would rather be...(hears THE phone ringing)",0
3596, I'm free.," Ahh now this feels right. There is no place I would rather be, and no one I would rather be...(hears THE phone ringing)", I'm free. |  What's wrong?,0
3597, What's wrong?, Did you hear that?, What's wrong? |  Hear what?,0
3598, Hear what?, Shhhhhhhh.(loses his mind)aaahhhh, Hear what? |  McLaren's pub!!,0
3599, Shhhhhhhh.(loses his mind)aaahhhh, McLaren's pub!!, Shhhhhhhh.(loses his mind)aaahhhh |  McLaren's pub!,0
3600, McLaren's pub!,"(crying)Go-o for Barrr-neeeeyy.(back to business)D cups, really?", McLaren's pub! |  Aren't we supposed to go on a double date with Ted?,0
3601," Well, she's not getting any younger."," Get rid of it. This phone is cursed. Cursed, I tell you! I tried to ignore it but it just never stops ringing. It's ruining my life! I should get that.(Marshall takes it away from him)No, please, please, please, Marshall, let me answer it, it could be an emergency, she could be trapped in a giant bra."," Well, she's not getting any younger. |  Barney, Barney, let it go... to voicemail.(carries him to the cab)",0
3602," Barney, Barney, let it go... to voicemail.(carries him to the cab)",(mumbles)OK...(cries into Ranjit's shoulder)," Barney, Barney, let it go... to voicemail.(carries him to the cab) |  We have to find Ted a wife. We're being too choosey. It almost doesn't matter who it is at this point. (both look over at Barney's phone)",0
3603, Why would Ted order the rabbit if he's just gonna run out?," I need it back. Where is the phone? Well, heeellooooo. Oh I met you already. Where is the phone?", Why would Ted order the rabbit if he's just gonna run out? |  It's hidden.,0
3604, It's hidden., Piti texting?, It's hidden. |  You go on your date. Happy Valentine's Day.,0
3605," Well, heeellooooo.(to a pretty girl ; phone rings)Sorry, babe, I gotta take this. Barney's phone, Teddy Westside speaking.", My phone. I'm taking it back. And I'm taking your cool nickname too. Barney Westside speaking.," Well, heeellooooo.(to a pretty girl ; phone rings)Sorry, babe, I gotta take this. Barney's phone, Teddy Westside speaking. |  No, no, I love it so much. It just keeps ringing and ringing and ringing. Give it, give it.",0
